WARD_NO,date,Temperature_Mean
87,10/1/2001,294.7674255
10,10/1/2001,294.4970703
11,10/1/2001,294.4970703
5,10/1/2001,294.4970703
6,10/1/2001,294.4970703
7,10/1/2001,294.4970703
8,10/1/2001,294.4970703
9,10/1/2001,294.4970703
130,10/1/2001,295.2066787
159,10/1/2001,295.2066956
40,10/1/2001,295.0006293
72,10/1/2001,295.2005481
16,10/1/2001,294.4970703
160,10/1/2001,294.7674255
17,10/1/2001,294.4970703
37,10/1/2001,294.4970703
38,10/1/2001,294.4970703
42,10/1/2001,294.4970703
69,10/1/2001,294.497281
73,10/1/2001,294.7564742
12,10/1/2001,294.4993409
13,10/1/2001,294.4970703
14,10/1/2001,294.7375011
15,10/1/2001,294.4970703
39,10/1/2001,294.601673
41,10/1/2001,294.5625556
70,10/1/2001,294.5247172
71,10/1/2001,294.7536069
102,10/1/2001,294.7674255
43,10/1/2001,294.4970703
44,10/1/2001,294.4970703
67,10/1/2001,294.5419629
68,10/1/2001,294.4970703
74,10/1/2001,294.7674255
75,10/1/2001,294.6346879
35,10/1/2001,294.5159782
36,10/1/2001,294.4970703
45,10/1/2001,294.4970703
64,10/1/2001,294.5657884
65,10/1/2001,294.5607911
66,10/1/2001,294.4970703
76,10/1/2001,294.720462
18,10/1/2001,294.4970703
19,10/1/2001,294.4970703
20,10/1/2001,294.4970703
21,10/1/2001,294.4970703
22,10/1/2001,294.4970703
33,10/1/2001,294.4970703
34,10/1/2001,294.4970703
46,10/1/2001,294.4970703
31,10/1/2001,294.4970703
32,10/1/2001,294.4970703
47,10/1/2001,294.4970703
48,10/1/2001,294.4970703
60,10/1/2001,294.4970703
61,10/1/2001,294.5165366
78,10/1/2001,294.7368553
23,10/1/2001,294.4970703
168,10/1/2001,294.7674255
169,10/1/2001,294.7674255
179,10/1/2001,294.7674255
149,10/1/2001,294.6935642
150,10/1/2001,294.7674255
82,10/1/2001,294.7674255
83,10/1/2001,294.5125557
84,10/1/2001,294.6270125
85,10/1/2001,294.7674255
174,10/1/2001,294.7674255
175,10/1/2001,294.7674255
186,10/1/2001,294.7674255
187,10/1/2001,294.7674255
188,10/1/2001,294.7674255
189,10/1/2001,294.7674255
190,10/1/2001,294.7674255
191,10/1/2001,294.7674255
193,10/1/2001,294.7674255
184,10/1/2001,294.7674255
185,10/1/2001,294.7674255
192,10/1/2001,294.7674255
194,10/1/2001,294.7674255
195,10/1/2001,294.7674255
196,10/1/2001,294.7674255
