DISPLAY_NA,WARD_NAME,WARD_NO,date,EVI_mean,NDVI_mean
"0 12th Main Road, 2nd Block, Basaveshwar Nagar, Bengaluru",Rajaji Nagar,99,7/1/2010,1322.607426,1711.205841
"400 13th Cross Road, Govindaraja Nagar Ward, Cauvery Nagar, Vijaya Nagar, Bengaluru",Kaveripura,103,7/1/2010,2079.368536,3186.390917
"1700 5th Main Road, Govindaraja Nagar Ward, Govindarajanagar, Vijaya Nagar, Bengaluru",Govindaraja Nagar,104,7/1/2010,1492.104398,2305.266334
"0 17th A Cross Road, Agrahara Dasarahalli, Rajaji Nagar, Bengaluru",Agrahara Dasarahalli,105,7/1/2010,1491.145216,2060.863003
"Colorado, Rajaji Nagar Industrial Town, Rajaji Nagar, Bengaluru",Dr. Raj Kumar Ward,106,7/1/2010,1419.043248,2056.665508
"0 16th Main Road, CHBS Layout, Stage 2, Vijaya Nagar, Bengaluru",Marenahalli,125,7/1/2010,1414.228767,2189.390506
"200 6th Cross Road, Govindaraja Nagar Ward, GKW Layout, Vijaya Nagar, Bengaluru",Maruthi Mandir ward,126,7/1/2010,1520.01679,2267.410986
"0 Manjunatha Talkies Road, Sanjivini Nagara, Govindarajanagar, Vijaya Nagar, Bengaluru",Mudalapalya,127,7/1/2010,1624.672193,2501.560873
"1600 14th Cross Road, Nagarbhavi 1st Stage, BDA Lay Out, Chandra Layout, Bengaluru",Nagarabhavi,128,7/1/2010,1974.336126,2783.453595
"0 Nayandahalli Main Road, Vinayaka Extension, Nayanda Halli, Bengaluru",Nayandahalli,131,7/1/2010,2393.450832,3134.769965
"0 5th Main Road, Kempapura Agrahara, Bengaluru",Kempapura Agrahara,122,7/1/2010,1298.291403,1809.2379
"1100 2nd Main Road, Hoshalli Extension, Stage 1, Vijaya Nagar, Bengaluru",Vijayanagar,123,7/1/2010,1333.641474,1883.362135
"2300 9th Cross Road, Hampi Nagar, Stage 1, Vijaya Nagar, Bengaluru",Hosahalli,124,7/1/2010,1386.884651,1949.024406
"0 2nd Cross Road, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Attiguppe, Bengaluru",Attiguppe,132,7/1/2010,1764.278006,2475.608749
"400 4th Cross Road, Vijaya Nagar II Stage, Vijaya Nagar, Bengaluru",Hampi Nagar,133,7/1/2010,1616.250973,2326.603809
"0 F Street, New Guddadahalli, Bapuji Nagar, Bengaluru",Bapuji Nagar,134,7/1/2010,1552.465183,2155.353792
"0 4th Cross Road, Telecom Colony, Srinagar, Banashankari, Bengaluru",Gali Anjenaya Temple ward,157,7/1/2010,1731.40176,2292.53062
"300 Mysore Road, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru",Deepanjali Nagar,158,7/1/2010,2053.166936,2800.771186
"0 11th C Cross Road, Vinayaka Nagar, Padarayana Pura, Bengaluru",Padarayanapura,135,7/1/2010,1390.271122,1957.553143
"0 1st Main Road, Devaraj URS Nagar, Padarayana Pura, Bengaluru",Jagajivanaramnagar,136,7/1/2010,1486.271015,2027.968368
"0 Chowdappa Road, Cobaley Colony, Azad Nagar, Bengaluru",Rayapuram,137,7/1/2010,1439.853057,1967.703434
"100 5th Cross Road, Anjanappa Gardens, Cottonpete, Bengaluru",Chalavadipalya,138,7/1/2010,1446.207,2011.724215
"0 2nd Main Road, New Tharagupet, Bengaluru",K R Market,139,7/1/2010,1296.212953,1864.29257
"100 7th Cross Road, Chamrajpet, Bengaluru",Chamrajapet,140,7/1/2010,1451.483786,2049.842653
"165, Vittal Nagar, Kasthuriba Nagar, Azad Nagar, Bengaluru",Azad Nagar,141,7/1/2010,1647.214395,2197.192658
"3rd Cross Road, Sampangi Rama Nagar, Bengaluru",Sudham Nagara,118,7/1/2010,1322.20051,1947.495288
"59, Kalasipalyam New Extension, Kalasipalya, Bengaluru",Dharmaraya Swamy Temple,119,7/1/2010,1269.467282,1830.96653
"Vaibhav Apartments, Gandhi Bazaar Main Road, Gandhi Bazaar, Basavanagudi, Bengaluru",Sunkenahalli,142,7/1/2010,1624.551034,2306.686989
"0 KP Ramaiya Road, Upparahalli, Mavalli, Bengaluru",Vishveshwara Puram,143,7/1/2010,1572.620002,2296.740582
"Raja Niwas, 7th Cross Road, Arekempanahalli, Mavalli, Bengaluru",Siddapura,144,7/1/2010,1855.59272,2696.935036
"0 16th Cross Road, Lakkasandra Extension, Wilson Garden, Bengaluru",Hombegowda Nagara,145,7/1/2010,1623.582796,2375.495493
"Nimhans Campus Road, RBI Extension, Hombegowda Nagar, Bengaluru",Jayanagar,153,7/1/2010,2004.748385,2829.398194
"Ueda Priya House, Tara Subba Rao Road, Gavipura, Kempegowda Nagar, Bengaluru",Hanumanth Nagar,155,7/1/2010,1594.972445,2132.764864
"12, Srinagar, Banashankari, Bengaluru",Srinagar,156,7/1/2010,1550.822737,2045.159688
"0 Subbarama Chetty Road, NR Colony, Basavanagudi, Bengaluru",Basavanagudi,154,7/1/2010,1675.438369,2288.513778
"Mandhara Niwas, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru",Girinagar,162,7/1/2010,1660.554486,2182.878823
"0 1st Cross Road, 4th Block, Banashankari 3rd Stage, Banashankari, Bengaluru",Katriguppe,163,7/1/2010,1500.681104,2216.669284
"6th Cross Road, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru",Vidyapeeta ward,164,7/1/2010,1593.809059,2251.038418
"Sushma Nilayam, 6th Main Road, Hrushikesh Nagar, Dattatreya Nagar, Hosakerehalli, Bengaluru",Hosakerehalli,161,7/1/2010,1818.227316,2377.643689
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru",Ganesh Mandir ward,165,7/1/2010,1548.529797,2125.706244
"300 6th Cross Road, 1st Block, 7th Block, Jayanagar, Bengaluru",Karisandra,166,7/1/2010,1642.216635,2287.944042
"30/2, Sakamma Garden, Jayanagar, Bengaluru",Yediyur,167,7/1/2010,1703.035451,2336.659453
"200 4th Cross Road, Umarbagh Layout, Banashankari, Bengaluru",Banashankari Temple ward,180,7/1/2010,1583.991822,2145.89295
"1700 Vyasaraya Ballal Road, Kumaraswamy Layout I Stage, Bengaluru",Kumaraswamy Layout,181,7/1/2010,1780.237412,2358.069209
"100 2nd Main Road, Rajathadri Kalayana Mantappa, Padmanabhanagar, Bengaluru",Padmanabha Nagar,182,7/1/2010,1563.914243,2083.583617
"0 9th Cross Road, Rangadasapp Layout, Pukhraj Layout, Adugodi, Ad",Lakkasandra,146,7/1/2010,1945.655706,2703.790403
"900 Adugodi Main Road, Audugodi Police Quarters, Adugodi, Bengaluru",Adugodi,147,7/1/2010,2154.30949,2970.40623
"26, Gowda Muniswamy Garden, Ejipura, Bengaluru",Ejipura,148,7/1/2010,2064.364297,2879.110617
"Prem Complex, Koramangala 3 Block, Koramangala, Bengaluru",Koramangala,151,7/1/2010,2096.232709,2907.952867
"0 3rd Main Road, Bharathi Layout, Venkateshwara Layout, Suddagunte Palya, Bengaluru",Suddagunte Palya,152,7/1/2010,1573.353781,2172.524882
"0 34th Main Road, 1st Phase, JP Nagar, Bengaluru",Sarakki,178,7/1/2010,1633.051458,2326.907615
"0 8th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru",Jakkasandra,173,7/1/2010,2170.134773,3013.452217
"1100 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru",BTM Layout,176,7/1/2010,1653.414687,2374.604593
"Raghva Niwas, 38th Cross Road, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru",Pattabhiram Nagar,168,7/1/2010,1760.834035,2560.378577
"100 16 A Main Road, Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru",Byrasandra,169,7/1/2010,1957.083889,2875.922086
"725-44, TMC Layout, 1st Phase, JP Nagar, Bengaluru",Shakambari Nagar,179,7/1/2010,1654.817927,2350.350737
"State Highway 35, Devasthanagalu, Gunjur Village, Bengaluru",Varthuru,149,7/1/2010,3003.810937,4348.39039
"Bellandur - Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bengaluru",Bellanduru,150,7/1/2010,2638.883626,3634.214443
"300 5B Road, Shivaji Nagar, Basavanna Nagar, Whitefield, Bengaluru",Garudachar Playa,82,7/1/2010,2399.936684,3484.355556
"Patalamma Layout, V S Reddy Colony, Kadugodi, Bengaluru",Kadugodi,83,7/1/2010,2892.123646,4457.622531
"M4, Phase 1, Whitefield, Bengaluru",Hagadur,84,7/1/2010,2977.020333,4193.820572
"Shriram Spurthi, Road, Sri Nivasa Reddy Layout, AECS Layout, Brookefield, Bengaluru",Dodda Nekkundi,85,7/1/2010,2543.2595,3596.578405
"2200 15th B Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru",HSR Layout,174,7/1/2010,2264.708681,3208.812621
"200 4th A Main Road, Roopena Agrahara, Bommanahalli, Bengaluru",Bommanahalli,175,7/1/2010,1797.348827,2415.746325
"Raj Kumar Statue Road, Jarganahalli, JP Nagar Phase 6, JP Nagar, Bengaluru",Jaraganahalli,186,7/1/2010,1790.179959,2429.272332
"0 5th Cross Road, 5th Phase, T Muniyappa Layout, Sahyadri Layout, Bengaluru",Puttenahalli,187,7/1/2010,1911.201627,2656.553963
"100 Devarachikkanahalli Road, Shanbogh Naggappa Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru",Bilekhalli,188,7/1/2010,1926.854305,2660.343572
"0 2nd Cross Road, Hongasandra, Bengaluru",Hongasandra,189,7/1/2010,1643.023484,2197.942362
"100 11th Main Road, Hosapalaya, Muneshwara Nagar, Bengaluru",Mangammanapalya,190,7/1/2010,2156.199702,2965.838343
"Unnamed Road, Sai Meadows, Parappana Agrahara, Bengaluru",Singasandra,191,7/1/2010,2471.887676,3365.735749
"100 Hulimavu Lake Road, Krishna Layout, Hulimavu, Bengaluru",Arakere,193,7/1/2010,2337.19967,3214.781603
"4th Cross Road, Jayanagar housing society layout, Subramanyapura, Bengaluru",Uttarahalli,184,7/1/2010,2585.594876,3370.852563
"300 9th Cross Road, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru",Yelchenahalli,185,7/1/2010,1884.731288,2475.731407
"469/2, Begur, Bengaluru",Begur,192,7/1/2010,2758.43062,3669.785829
"1st G Cross, Royal Lake Front Phase1 and 2, Gottigere, Bengaluru",Gottigere,194,7/1/2010,2684.019899,3473.545024
"0 1st Main Road, Sheryas Colony, 8th Phase, JP Nagar, Bengaluru",Konankunte,195,7/1/2010,2152.278064,2843.758864
"Anjanapura 80 Feet Road, Anjanapura Village, Anjanapura Township, Bengaluru",Anjanapura,196,7/1/2010,2705.331196,3554.184582
