DISPLAY_NA,WARD_NAME,WARD_NO,date,mean
"2300 9th Cross Road, Hampi Nagar, Stage 1, Vijaya Nagar, Bengaluru",Hosahalli,124,1/1/2000,15502.70209
"0 2nd Cross Road, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Attiguppe, Bengaluru",Attiguppe,132,1/1/2000,15542.21937
"400 4th Cross Road, Vijaya Nagar II Stage, Vijaya Nagar, Bengaluru",Hampi Nagar,133,1/1/2000,15519.73924
"0 F Street, New Guddadahalli, Bapuji Nagar, Bengaluru",Bapuji Nagar,134,1/1/2000,15520.4772
"0 4th Cross Road, Telecom Colony, Srinagar, Banashankari, Bengaluru",Gali Anjenaya Temple ward,157,1/1/2000,15515.79441
"300 Mysore Road, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru",Deepanjali Nagar,158,1/1/2000,15511.78641
"0 11th C Cross Road, Vinayaka Nagar, Padarayana Pura, Bengaluru",Padarayanapura,135,1/1/2000,15508.22495
"0 1st Main Road, Devaraj URS Nagar, Padarayana Pura, Bengaluru",Jagajivanaramnagar,136,1/1/2000,15528.21252
"0 Chowdappa Road, Cobaley Colony, Azad Nagar, Bengaluru",Rayapuram,137,1/1/2000,15536.12417
"100 5th Cross Road, Anjanappa Gardens, Cottonpete, Bengaluru",Chalavadipalya,138,1/1/2000,15535.46588
"0 2nd Main Road, New Tharagupet, Bengaluru",K R Market,139,1/1/2000,15539.22633
"100 7th Cross Road, Chamrajpet, Bengaluru",Chamrajapet,140,1/1/2000,15516.78234
"165, Vittal Nagar, Kasthuriba Nagar, Azad Nagar, Bengaluru",Azad Nagar,141,1/1/2000,15522.35334
"3rd Cross Road, Sampangi Rama Nagar, Bengaluru",Sudham Nagara,118,1/1/2000,15505.17762
"59, Kalasipalyam New Extension, Kalasipalya, Bengaluru",Dharmaraya Swamy Temple,119,1/1/2000,15540.12483
"Vaibhav Apartments, Gandhi Bazaar Main Road, Gandhi Bazaar, Basavanagudi, Bengaluru",Sunkenahalli,142,1/1/2000,15465.40891
"0 KP Ramaiya Road, Upparahalli, Mavalli, Bengaluru",Vishveshwara Puram,143,1/1/2000,15453.45352
"Raja Niwas, 7th Cross Road, Arekempanahalli, Mavalli, Bengaluru",Siddapura,144,1/1/2000,15428.38957
"0 16th Cross Road, Lakkasandra Extension, Wilson Garden, Bengaluru",Hombegowda Nagara,145,1/1/2000,15462.80569
"Nimhans Campus Road, RBI Extension, Hombegowda Nagar, Bengaluru",Jayanagar,153,1/1/2000,15432.97467
"Ueda Priya House, Tara Subba Rao Road, Gavipura, Kempegowda Nagar, Bengaluru",Hanumanth Nagar,155,1/1/2000,15478.11187
"12, Srinagar, Banashankari, Bengaluru",Srinagar,156,1/1/2000,15490.63908
"0 Subbarama Chetty Road, NR Colony, Basavanagudi, Bengaluru",Basavanagudi,154,1/1/2000,15451.87574
"Mandhara Niwas, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru",Girinagar,162,1/1/2000,15473.33405
"0 1st Cross Road, 4th Block, Banashankari 3rd Stage, Banashankari, Bengaluru",Katriguppe,163,1/1/2000,15464.47602
"6th Cross Road, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru",Vidyapeeta ward,164,1/1/2000,15464.82561
"Sushma Nilayam, 6th Main Road, Hrushikesh Nagar, Dattatreya Nagar, Hosakerehalli, Bengaluru",Hosakerehalli,161,1/1/2000,15456.07897
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru",Ganesh Mandir ward,165,1/1/2000,15471.74808
"300 6th Cross Road, 1st Block, 7th Block, Jayanagar, Bengaluru",Karisandra,166,1/1/2000,15459.36307
"30/2, Sakamma Garden, Jayanagar, Bengaluru",Yediyur,167,1/1/2000,15447.7051
"200 4th Cross Road, Umarbagh Layout, Banashankari, Bengaluru",Banashankari Temple ward,180,1/1/2000,15471.04833
"1700 Vyasaraya Ballal Road, Kumaraswamy Layout I Stage, Bengaluru",Kumaraswamy Layout,181,1/1/2000,15504.54016
"100 2nd Main Road, Rajathadri Kalayana Mantappa, Padmanabhanagar, Bengaluru",Padmanabha Nagar,182,1/1/2000,15505.3136
"0 9th Cross Road, Rangadasapp Layout, Pukhraj Layout, Adugodi, Ad",Lakkasandra,146,1/1/2000,15434.26504
"900 Adugodi Main Road, Audugodi Police Quarters, Adugodi, Bengaluru",Adugodi,147,1/1/2000,15439.87041
"26, Gowda Muniswamy Garden, Ejipura, Bengaluru",Ejipura,148,1/1/2000,15420.81172
"Prem Complex, Koramangala 3 Block, Koramangala, Bengaluru",Koramangala,151,1/1/2000,15419.26413
"0 3rd Main Road, Bharathi Layout, Venkateshwara Layout, Suddagunte Palya, Bengaluru",Suddagunte Palya,152,1/1/2000,15435.76483
"0 34th Main Road, 1st Phase, JP Nagar, Bengaluru",Sarakki,178,1/1/2000,15440.61161
"0 8th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru",Jakkasandra,173,1/1/2000,15428.96708
"1100 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru",BTM Layout,176,1/1/2000,15414.60741
"Raghva Niwas, 38th Cross Road, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru",Pattabhiram Nagar,168,1/1/2000,15442.69364
"100 16 A Main Road, Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru",Byrasandra,169,1/1/2000,15438.6906
"725-44, TMC Layout, 1st Phase, JP Nagar, Bengaluru",Shakambari Nagar,179,1/1/2000,15441.05652
"State Highway 35, Devasthanagalu, Gunjur Village, Bengaluru",Varthuru,149,1/1/2000,15378.80651
"Bellandur - Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bengaluru",Bellanduru,150,1/1/2000,15363.20039
"300 5B Road, Shivaji Nagar, Basavanna Nagar, Whitefield, Bengaluru",Garudachar Playa,82,1/1/2000,15514.92807
"Patalamma Layout, V S Reddy Colony, Kadugodi, Bengaluru",Kadugodi,83,1/1/2000,15511.563
"M4, Phase 1, Whitefield, Bengaluru",Hagadur,84,1/1/2000,15440.94011
"Shriram Spurthi, Road, Sri Nivasa Reddy Layout, AECS Layout, Brookefield, Bengaluru",Dodda Nekkundi,85,1/1/2000,15464.48473
"2200 15th B Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru",HSR Layout,174,1/1/2000,15430.51908
"200 4th A Main Road, Roopena Agrahara, Bommanahalli, Bengaluru",Bommanahalli,175,1/1/2000,15430.90115
"Raj Kumar Statue Road, Jarganahalli, JP Nagar Phase 6, JP Nagar, Bengaluru",Jaraganahalli,186,1/1/2000,15453.83737
"0 5th Cross Road, 5th Phase, T Muniyappa Layout, Sahyadri Layout, Bengaluru",Puttenahalli,187,1/1/2000,15436.32105
"100 Devarachikkanahalli Road, Shanbogh Naggappa Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru",Bilekhalli,188,1/1/2000,15427.30467
"0 2nd Cross Road, Hongasandra, Bengaluru",Hongasandra,189,1/1/2000,15459.11389
"100 11th Main Road, Hosapalaya, Muneshwara Nagar, Bengaluru",Mangammanapalya,190,1/1/2000,15466.19853
"Unnamed Road, Sai Meadows, Parappana Agrahara, Bengaluru",Singasandra,191,1/1/2000,15482.80596
"100 Hulimavu Lake Road, Krishna Layout, Hulimavu, Bengaluru",Arakere,193,1/1/2000,15456.3835
"4th Cross Road, Jayanagar housing society layout, Subramanyapura, Bengaluru",Uttarahalli,184,1/1/2000,15521.20417
"300 9th Cross Road, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru",Yelchenahalli,185,1/1/2000,15503.57246
"469/2, Begur, Bengaluru",Begur,192,1/1/2000,15477.31948
"1st G Cross, Royal Lake Front Phase1 and 2, Gottigere, Bengaluru",Gottigere,194,1/1/2000,15488.30326
"0 1st Main Road, Sheryas Colony, 8th Phase, JP Nagar, Bengaluru",Konankunte,195,1/1/2000,15473.67336
"Anjanapura 80 Feet Road, Anjanapura Village, Anjanapura Township, Bengaluru",Anjanapura,196,1/1/2000,15517.37549
"NITTE Meenakshi College Road, BSF Campus, Yelahanka, Bengaluru",Kempegowda Ward,1,1/1/2000,15374.44712
"0 Kithaganur Main Road, Thambu Chetty Palya, Battarahalli, Bengaluru",K R Puram,52,1/1/2000,15479.99938
"300 8th A Cross Road, Health Layout, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru",Jnana Bharathi ward,129,1/1/2000,15523.32034
"400 East End Main Road, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru",Jayanagar East,170,1/1/2000,15441.45379
"0 F Cross Road, Krishnappa Garden, 1st Stage, BTM Layout, Bengaluru",Gurappanapalya,171,1/1/2000,15439.68808
"500 1st Main Road, Bhuvaneshwari Nagar, Banashankari, Bengaluru",Chikkalsandra,183,1/1/2000,15488.55924
"0 1st Main Road, Kuvempu Nagar, Konanakunte, Bengaluru",Vasanthpura,197,1/1/2000,15530.90745
"100 4th Cross Road, 3rd Phase, JP Nagar, Bengaluru",J P Nagar,177,1/1/2000,15431.16462
"0 1st B Cross Road, Cashier Layout, 1st Stage, BTM Layout, Bengaluru",Madivala,172,1/1/2000,15445.38952
"Kalkere-Agara Main Road, Horamavu Agara, Kalkere, Bengaluru",Ramamurthy Nagar,26,1/1/2000,15416.65169
"0 Horamavu Agara Main Road, 1st Block, Mallappa Layout, Prakruthi Township, Bengaluru",Horamavu,25,1/1/2000,15437.36324
"0 3rd Cross Road, Manjunatha Layout, Marathahalli Village, Marathahalli, Bengaluru",Marathahalli,86,1/1/2000,15361.8779
"BGS Road, Kodipalya, Bengaluru",Hemmigepura,198,1/1/2000,15481.02774
"Unnamed Road, Bengaluru",Chowdeswari Ward,2,4/1/2000,15441.19805
"9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru",Atturu,3,4/1/2000,15442.55014
"15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru",Yelahanka Satellite Town,4,4/1/2000,15401.61496
"SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru",Vijnanapura,51,4/1/2000,15496.73473
"Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru",Basavanapura,53,4/1/2000,15465.52217
"0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru",Hudi,54,4/1/2000,15440.36372
"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru",Devasandra,55,4/1/2000,15466.14384
"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru",A Narayanapura,56,4/1/2000,15464.19016
"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru",Vijnana Nagar,81,4/1/2000,15437.78488
"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru",HAL Airport,87,4/1/2000,15411.22927
"Vidyaranyapura Road, Bengaluru",Dodda Bommasandra,10,4/1/2000,15366.41972
"5th Main Singapura Layout, Bengaluru",Kuvempu Nagar,11,4/1/2000,15385.64557
"0 8th Cross Road, Yelahanka, Bengaluru",Jakkuru,5,4/1/2000,15385.9937
"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru",Thanisandra,6,4/1/2000,15372.62935
"0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru",Byatarayanapura,7,4/1/2000,15379.72041
